"SP","mLL","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","iX","iY"
1,-1789735.12478236,1.66387672910286e-05,2.71420352951179e-05,0.0307094115131144,0.0171297022199757,0.0608629992878886,-0.0431611021549326,0.174934088749626,0.064532042568315,-0.00523005981294289,0,1.11825014183739,1.13404360187963
2,-1789735.3018135,1.66387672910286e-05,2.71420352951179e-05,0.0308644048016829,0.0171637893030837,0.0599857306379837,-0.0430799678805138,0.17112713268453,0.0607741838526353,-0.00474828143858939,0,1.11825014183739,1.13404360187963
3,-1789724.88585775,1.66387672910286e-05,2.71420352951179e-05,0.0309575847824049,0.0173350492611325,0.065136638940215,-0.0412918930112884,0.176130886270918,0.188639429338029,-0.0125932418964359,0,1.11825014183739,1.13404360187963
4,-1789736.24158666,1.66387672910286e-05,2.71420352951179e-05,0.0303635495459409,0.0175535611601051,0.0431794978060037,0.0336220288689744,-0.173251723319445,0.143401262805336,-0.00390842884754546,0,1.11825014183739,1.13404360187963
5,-1789652.82652066,1.66387672910286e-05,2.71420352951179e-05,0.032183634099606,0.0172415261555036,2.03657445545331e-05,0.0435571449424347,0.125614529098206,0.328992808253562,-0.0291742377054373,0,1.11825014183739,1.13404360187963
6,-1789735.13876431,1.66387672910286e-05,2.71420352951179e-05,0.0308173117988046,0.0174278988112336,0.0621186481842418,-0.0397795080030119,0.171173966778049,0.0484033799811839,-0.00477960010458359,0,1.11825014183739,1.13404360187963
7,-1789740.64741077,1.66387672910286e-05,2.71420352951179e-05,0.030662162124381,0.0174844668761953,0.047058134556389,-0.0302025445026139,0.163580570650738,-0.15705572262648,0.00320280109815083,0,1.11825014183739,1.13404360187963
8,-1789712.94360061,1.66387672910286e-05,2.71420352951179e-05,0.0322797405934905,0.0172434434918054,0.0287603800988046,-0.0357262552733178,0.182261923034762,0.180016320684843,-0.0175933517979473,0,1.11825014183739,1.13404360187963
9,-1789725.79184306,1.66387672910286e-05,2.71420352951179e-05,0.0348309404519528,0.0177872630144178,0.0531611227415227,-0.0495237249518903,0.173654007243623,0.118125387153789,-0.00371627098794911,0,1.11825014183739,1.13404360187963
10,-1789723.90991098,1.66387672910286e-05,2.71420352951179e-05,0.0332876259313533,0.0171428843777535,0.036281390100582,-0.0461407692732165,0.136646007854352,0.0335158841141303,-0.00502048815684408,0,1.11825014183739,1.13404360187963
11,-1789740.5791723,1.66387672910286e-05,2.71420352951179e-05,0.0308658961570163,0.0176592386336148,0.0497837529173653,-0.0230819551227575,0.165565390401724,-0.156089194890007,0.000835308794155012,0,1.11825014183739,1.13404360187963
12,-1789734.39781679,1.66387672910286e-05,2.71420352951179e-05,0.0310266034359225,0.0174438619665168,0.0609766840734259,-0.0440103616193137,0.173648658980308,0.0919520263447894,-0.00644207891657414,0,1.11825014183739,1.13404360187963
13,-1789735.15280213,1.66387672910286e-05,2.71420352951179e-05,0.0313346560444309,0.0175792146984632,0.0512117087432954,-0.0308447108205196,0.169474773620891,-0.0053498847649267,-0.00496486227011911,0,1.11825014183739,1.13404360187963
14,-1789738.88907822,1.66387672910286e-05,2.71420352951179e-05,0.0309539151552771,0.0170572215963075,0.0524211759534165,-0.0356722470235942,0.1671641430966,-0.0700242643675746,-0.000723044991241183,0,1.11825014183739,1.13404360187963
15,-1789734.70319459,1.66387672910286e-05,2.71420352951179e-05,0.0315630418391889,0.0172678751417869,0.0585439612986523,-0.0410618348319837,0.167978484412723,0.0801215322648746,-0.00688895670802515,0,1.11825014183739,1.13404360187963
16,-1789730.19943509,1.66387672910286e-05,2.71420352951179e-05,0.0323504673261651,0.0168917604439158,0.013833995981907,-0.0325911540449879,-0.17785892453539,-0.0341647871414039,0.0153364322770941,0,1.11825014183739,1.13404360187963
17,-1789737.51164281,1.66387672910286e-05,2.71420352951179e-05,0.030957325470752,0.0171310217227988,0.0527995864642826,-0.0397996585714457,0.181105547032867,-0.0487628741024422,-0.00151111101528568,0,1.11825014183739,1.13404360187963
