"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",1.66387672910286e-05,2.71420352951179e-05,0.0305008685422348,0.0174861273662415,0.0545978599098101,0.0350185170177856,-0.17501553775297,-0.140982485276741,0.011201579705472,1.11825014183739,1.13404360187963
"SE-JK",NA,NA,0.00570730114460012,0.00253253223138846,0.0268700849036229,0.0737222034913937,0.0390171930394859,0.144425348261895,0.0169427082512522,NA,NA
"Pval",NA,NA,9.08251770285462e-08,5.0344337407649e-12,0.0421617667978208,0.634782425737018,7.2708889278392e-06,0.328984367758242,0.508519599240331,NA,NA
