"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0267152154811563,0.0267694896549788,0.000286162029107272,0.00403681219202175,8.18887069027911e-08,1348.50402198639,-2693.00804397279,TRUE,0.0263331,0.02678305,0.0005323473,0.0001229308,0.1507632,0.8492368,1425.827,-2843.654,-0.823546248675911,0.410197428292848,0.0188030635847936,0.0346273673775189,"FALSE"
"h2Y",0.0448354875429929,0.0449620032772055,0.000998519646288022,0.0140858530206945,9.97041484023156e-07,1098.56089344147,-2193.12178688294,TRUE,0.04373298,0.0449828,0.0025696824,0.0002412158,0.117868,0.882132,1276.06,-2544.12,-0.484242603509321,0.628213704625637,0.0172272156224317,0.0724437594635541,"FALSE"
"tX",0.0628277964814749,0.0629286911745599,0.00177548117879333,0.0250462442261035,3.15233341624935e-06,983.450308771015,-1962.90061754203,TRUE,0.06099945,0.06296809,0.0057945714,0.0007243279,0.07126322,0.92873678,1100.618,-2193.236,-0.337115123054243,0.736030117485779,0.0137371577983121,0.111918435164638,"FALSE"
"tY",-0.163602516744956,-0.163823835681461,0.00370811030766594,0.0523093330937211,1.37500820538184e-05,836.160124173327,-1668.32024834665,TRUE,-0.1638794,-0.1590421,0.001153246,0.013966671,0.94276429,0.05723571,1010.047,-2012.094,-0.345171261621258,0.729965622483024,-0.26612880960865,-0.0610762238812631,"FALSE"
"axy",0.0716718319325731,0.0712590725868093,0.0140800737452313,0.198623882898203,0.000198248476671152,569.312485677121,-1134.62497135424,TRUE,0.07112635,0.07472033,0.004490303,0.034292961,0.8482222,0.1517778,685.0484,-1362.0968,-0.103915230151493,0.917236620629893,-0.317630978547905,0.460974642413052,"FALSE"
"ayx",0.062802142626159,0.0632560424579726,0.00413015471981464,0.0582630021875961,1.70581780096072e-05,814.601629598628,-1625.20325919726,TRUE,0.06338137,0.05889566,0.001287605,0.010135937,0.8708716,0.1291284,944.9559,-1881.9118,0.439026809086527,0.66064211089585,-0.0513933416615293,0.176997626913847,"FALSE"
"iXY",0.0111949570091078,0.0112160794401863,0.000828029876528746,0.0116807988514664,6.85633476424211e-07,1136.00581183458,-2268.01162366916,TRUE,0.01120681,0.01095647,0.0004578069,0.0031836217,0.95266985,0.04733015,1212.964,-2417.928,0.0778330914833381,0.937960823087174,-0.0116994087397663,0.0340893227579819,"FALSE"
