id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
kHNY4L,FucqRE,AD_kunkle,mtDNA_hagg,Weighted mode,48,0.22183290360201324,0.28921311862423316,0.4469042495763146,-0.3450248089014837,0.7886906161055102,1.2483627635142516,0.7082027835167686,2.2005132224844464
kHNY4L,yT5T3Y,AD_bellenguez,mtDNA_hagg,Inverse variance weighted (fixed effects),47,0.11489093780229473,0.0595199049107654,0.05357037330674721,-0.0017680758228054566,0.23154995142739493,1.121751090261144,0.9982334863024646,1.2605522913912681
kHNY4L,yT5T3Y,AD_bellenguez,mtDNA_hagg,MR Egger,47,0.005790646539784997,0.24424982969416553,0.9811904366492439,-0.47293901966077945,0.48452031274034946,1.0058074447419574,0.6231680710193866,1.623396099616396
kHNY4L,yT5T3Y,AD_bellenguez,mtDNA_hagg,Weighted median,47,0.1480066173579464,0.0949892865364103,0.11920003834915044,-0.03817238425341779,0.3341856189693106,1.15952056930024,0.9625469986429546,1.3968023925334314
kHNY4L,yT5T3Y,AD_bellenguez,mtDNA_hagg,Weighted mode,47,0.16966799802700905,0.15385155013642754,0.27584887473521796,-0.13188104024038894,0.47121703629440703,1.1849113930892,0.8764452505944679,1.6019426296397696
O5wlaN,FucqRE,AD_kunkle,mtDNA_chong,Inverse variance weighted (fixed effects),62,0.10795708610900558,0.09378244102824995,0.24967303490587026,-0.07585649830636433,0.2917706705243755,1.113999938288761,0.9269492157980097,1.3387959570568182
O5wlaN,FucqRE,AD_kunkle,mtDNA_chong,MR Egger,62,0.16575558134941965,0.2537016073472633,0.5160275852949884,-0.33149956905121647,0.6630107317500558,1.1802845828999684,0.7178464655717298,1.9406262528879885
O5wlaN,FucqRE,AD_kunkle,mtDNA_chong,Weighted median,62,0.07665059705164798,0.14322563914940042,0.592529741971106,-0.20407165568117683,0.3573728497844728,1.079664772426162,0.8154039407690719,1.4295687849124146
O5wlaN,FucqRE,AD_kunkle,mtDNA_chong,Weighted mode,62,0.029092494756264742,0.2131990392352173,0.8919094000187417,-0.38877762214476114,0.4469626116572906,1.0295198152557332,0.6778849998662282,1.5635558394319964
O5wlaN,yT5T3Y,AD_bellenguez,mtDNA_chong,Inverse variance weighted (fixed effects),59,0.03897565455803064,0.05443992550798397,0.4740291434474523,-0.06772659943761794,0.1456779085536792,1.0397451702863205,0.9345159358362722,1.15682352507591
O5wlaN,yT5T3Y,AD_bellenguez,mtDNA_chong,MR Egger,59,0.046320224241380874,0.14966592729366687,0.7580768067505435,-0.24702499325420618,0.33966544173696794,1.0474097632569574,0.7811211705274249,1.404477632356628
O5wlaN,yT5T3Y,AD_bellenguez,mtDNA_chong,Weighted median,59,0.12298221210604005,0.08774267027052543,0.1610276256561567,-0.04899342162418979,0.2949578458362699,1.1308643050742386,0.9521873935244183,1.3430697415111756
O5wlaN,yT5T3Y,AD_bellenguez,mtDNA_chong,Weighted mode,59,0.17951543732044728,0.12783533195131647,0.16557069537576743,-0.071041813304133,0.43007268794502757,1.1966373767995404,0.9314229454424587,1.5373692676998234
