"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",2.71964250045129e-07,2.41578602189128e-08,-3.07854595185356e-07,-3.67026496177018e-08,-6.36388306561662e-08,7.76657718134285e-08,7.70955355190145e-08
"h2Y",2.41578602189128e-08,2.75177690496939e-08,1.47975277872755e-09,1.4086356294012e-09,4.72390885337925e-08,-4.60739334171232e-07,1.28239181896698e-09
"tX",-3.07854595185356e-07,1.47975277872755e-09,6.00886111460844e-06,1.64378614894283e-06,-9.57713001236781e-07,-1.36791230729112e-05,-1.51020129037201e-07
"tY",-3.67026496177018e-08,1.4086356294012e-09,1.64378614894283e-06,1.52072615261266e-06,-1.31991520676394e-06,-4.02884736402631e-06,-9.92839898846923e-08
"axy",-6.36388306561662e-08,4.72390885337925e-08,-9.57713001236781e-07,-1.31991520676394e-06,8.08148290440203e-06,-1.81779599908315e-06,-9.14388152493504e-07
"ayx",7.76657718134285e-08,-4.60739334171232e-07,-1.36791230729112e-05,-4.02884736402631e-06,-1.81779599908315e-06,0.000124409412451195,-2.81796264768387e-06
"iXY",7.70955355190145e-08,1.28239181896698e-09,-1.51020129037201e-07,-9.92839898846923e-08,-9.14388152493504e-07,-2.81796264768387e-06,5.33284375867226e-07
