"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0671899176453264,0.0673198636564152,0.000567796502745393,0.0080097553544069,3.22392868529899e-07,1211.46304219173,-2418.92608438345,TRUE,0.06660208,0.06738302,0.000837561,0.0002119193,0.2472699,0.7527301,1281.254,-2554.508,-0.903912833818099,0.366041623417181,0.0514907971506889,0.082889038139964,"FALSE"
"h2Y",0.0441601530100953,0.0442806939828517,0.000767458437830405,0.0108263335578404,5.88992453797086e-07,1151.19879406806,-2298.39758813612,TRUE,0.04336459,0.04430765,0.001669035,0.0001977999,0.156406,0.843594,1297.337,-2586.674,-0.561106461634202,0.574724963458014,0.0229405392367282,0.0653797667834624,"FALSE"
"tX",0.103445390297051,0.103524725057569,0.00203222083585167,0.0286680027837354,4.12992152566965e-06,956.438762763456,-1908.87752552691,TRUE,0.1035558,0.1003505,0.001345316,0.007659362,0.96556559,0.03443441,1010.534,-2013.068,0.412171754165355,0.68021353865129,0.0472561048409293,0.159634675753172,"FALSE"
"tY",-0.139743591058481,-0.140372205605251,0.00572120351800073,0.0807075075143719,3.27321696943839e-05,749.428765636945,-1494.85753127389,TRUE,-0.1403034,-0.1236704,0.001672938,0.024899396,0.96634368,0.03365632,954.3792,-1900.7584,-0.666505491760732,0.505088054630355,-0.29793030578665,0.018443123669688,"FALSE"
"axy",0.069921662920068,0.0707055122861139,0.0154655382840848,0.218168265356999,0.000239182874416491,550.541760911384,-1097.08352182277,TRUE,0.0452991,0.07139446,0.055020119,0.005719794,0.05643924,0.94356076,694.0394,-1380.0788,-0.471745297387899,0.637108600625427,-0.357688137179649,0.497531463019785,"FALSE"
"ayx",0.197497754361134,0.197213344466106,0.00444878734752894,0.0627578685412688,1.97917088635335e-05,799.738292764183,-1595.47658552837,TRUE,0.1990269,0.197095,0.008939268,0.001747761,0.208471,0.791529,868.8186,-1729.6372,0.212098066891136,0.832030527795314,0.0744923320202469,0.320503176702021,"FALSE"
"iXY",-0.0032310789644182,-0.00326389297496756,0.000658825464740572,0.00929387688777593,4.34050992990631e-07,1181.72392897921,-2359.44785795843,TRUE,-0.003296163,-0.001588182,0.0004462161,0.0018712567,0.96189455,0.03810545,1230.68,-2453.36,-0.887851805572316,0.374620471874328,-0.021447077664459,0.0149849197356226,"FALSE"
