"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0318459248311616,0.0319064328311066,0.000252139970678547,0.00355687199628296,6.35745648137784e-08,1373.81878463172,-2743.63756926345,TRUE,0.03140802,0.03192408,0.0003351931,0.0001190034,0.1514433,0.8485567,1436.921,-2865.842,-1.45086528079342,0.146817377373879,0.0248744557184471,0.0388173939438762,"FALSE"
"h2Y",0.0211688979363642,0.0212127038815894,0.000178022850711801,0.00251132135333886,3.16921353755563e-08,1443.43327576665,-2882.86655153329,TRUE,0.0209274,0.02121328,0.0003163286,7.908134e-05,0.1552356,0.8447644,1516.32,-3024.64,-0.876760764094777,0.380616594492985,0.01624670808382,0.0260910877889083,"FALSE"
"tX",0.0556918716116364,0.055729674798722,0.00150395540736371,0.0212159018568708,2.26188186733856e-06,1016.64488819207,-2029.28977638415,TRUE,0.05124685,0.05575806,0.0092798043,0.0008385354,0.01467252,0.98532748,1115.21,-2222.42,-0.484159415760881,0.628272736847076,0.0141087039721697,0.0972750392511031,"FALSE"
"tY",-0.0419894361924556,-0.0420843318283014,0.00105328709423183,0.0148584429491179,1.10941370287534e-06,1087.88143532065,-2171.76287064129,TRUE,-0.04208876,-0.04019026,0.0006680283,0.0030984592,0.94768455,0.05231545,1141.243,-2274.486,-0.59896113322598,0.54919880313528,-0.0711119843727268,-0.0128668880121844,"FALSE"
"axy",-0.118809535627153,-0.119019851296898,0.00280809417867699,0.0396130431846331,7.88539291631962e-06,891.763398334644,-1779.52679666929,TRUE,-0.1189672,-0.1173038,0.001541741,0.007587909,0.90522328,0.09477672,950.7829,-1893.5658,-0.214827585923214,0.829901744535681,-0.196451100269034,-0.0411679709852726,"FALSE"
"ayx",0.100625834019175,0.100786418692884,0.00297875094003508,0.0420204530602564,8.87295716275985e-06,879.963790335617,-1755.92758067123,TRUE,0.09927063,0.10084521,0.006640529,0.001665532,0.1393255,0.8606745,923.5949,-1839.1898,-0.22999286924102,0.818097310727929,0.0182657460210728,0.182985922017278,"FALSE"
"iXY",0.0087940335781935,0.0087893428618253,0.000588056236228916,0.00829555406567735,3.45810136967719e-07,1204.45114250017,-2404.90228500034,TRUE,0.008820582,0.00620928,0.0005253334,0.0004746208,0.98983324,0.01016676,1215.693,-2423.386,3.68836764714347,0.000225697376457786,-0.00746525239053411,0.0250533195469211,"FALSE"
