"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0279746333088901,0.0280496976690563,0.000263068218128345,0.00371103389777772,6.92048873892225e-08,1365.33298252191,-2726.66596504381,TRUE,0.0276894,0.02808065,0.0003414969,9.811121e-05,0.2709734,0.7290266,1429.994,-2851.988,-1.10114785347367,0.270832312851798,0.0207010068692457,0.0352482597485344,"FALSE"
"h2Y",0.0191467182152256,0.0191829970045942,0.000148989433967269,0.00210175460873612,2.21978514338871e-08,1479.04058104234,-2954.08116208468,TRUE,0.01895665,0.01918386,0.0002555763,7.212041e-05,0.1634552,0.8365448,1538.365,-3068.73,-0.855597380914556,0.392220519153998,0.0150272791821028,0.0232661572483484,"FALSE"
"tX",0.017738882838566,0.0176676882919397,0.0018887642073126,0.0266442980004017,3.56743023082518e-06,971.080052008238,-1938.16010401648,TRUE,0.01763109,0.01972372,0.0007543925,0.0073671738,0.94848777,0.05151223,1103.688,-2199.376,-0.282570271680322,0.777506271690752,-0.0344839412422214,0.0699617069193534,"FALSE"
"tY",-0.0493829083467697,-0.0494910349021045,0.00119252512558491,0.0168226370957442,1.42211617515131e-06,1063.05000069159,-2122.10000138318,TRUE,-0.04795798,-0.04954622,0.0025308907,0.0007639845,0.1028256,0.8971744,1099.467,-2190.934,0.600767073610208,0.547995137575915,-0.0823552770544284,-0.016410539639111,"FALSE"
"axy",-0.163995910432949,-0.164110653714349,0.00270963698276351,0.0382241335165833,7.34213257835972e-06,898.901669094034,-1793.80333818807,TRUE,-0.1625055,-0.164153,0.007414369,0.001422316,0.09534162,0.90465838,965.8983,-1923.7966,0.218224649210408,0.827254080570664,-0.238915212125452,-0.0890766087404457,"FALSE"
"ayx",-0.181515389536204,-0.182282330787113,0.0194668780546205,0.274614109064883,0.000378959341193463,504.521711322379,-1005.04342264476,TRUE,-0.1828639,-0.1030247,0.002839205,0.124853061,0.98310957,0.01689043,861.574,-1715.148,-0.639300021645324,0.522627774394556,-0.719759043303374,0.356728264230965,"FALSE"
"iXY",0.0279126190923129,0.0280454401426206,0.00130477061086904,0.018406054521557,1.70242634698758e-06,1045.05915369541,-2086.11830739081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00816324776993878,0.0639884859545645,"FALSE"
