"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-3476244.62664133,0.0276424972872364,0.0191325155196179,0.0184468730464134,-0.0493324542315967,-0.167657292226773,-0.181899223338094,0.0285594582028232,0,1,2297
-3477085.40726976,0.0276689967156107,0.0192512441416193,0.0170206227384594,-0.0475044676166524,-0.165659984384452,-0.186922669181157,0.0273795598735871,0,2298,4594
-3476872.81119323,0.0280633421845777,0.0189939868026879,0.0169100603866469,-0.0497512265198792,-0.167041133744404,-0.181494324650965,0.0282056075484744,0,4595,6891
-3476484.25360242,0.0280209580697867,0.0192313505594696,0.017533701193666,-0.0486322441995178,-0.163152893361424,-0.182313868667243,0.0274127926598043,0,6892,9188
-3476558.46718817,0.0282136064275159,0.0191749711243666,0.0175518651444997,-0.0510903692587677,-0.164306926834384,-0.183131081648213,0.0281514341745955,0,9189,11485
-3476454.88984144,0.0280739129071907,0.0192285903163857,0.0183128684394003,-0.0500401723544936,-0.163597304098,-0.181175907225277,0.0284490173395406,0,11486,13782
-3476815.08392665,0.0282247469071275,0.019218463160444,0.0166497329082273,-0.0499568195290838,-0.163929554676051,-0.179403696507978,0.0284541341565687,0,13783,16079
-3476412.44742632,0.0281182527185015,0.0192289531606933,0.0173401655784716,-0.0499593135359753,-0.163358670030071,-0.181247435414445,0.0284202968208968,0,16080,18376
-3477124.49112882,0.0275145390060511,0.0190861392149603,0.0172495826120745,-0.0495392331551548,-0.165654872183688,-0.185251145679951,0.0288590333572235,0,18377,20673
-3476885.02972654,0.0279206203078294,0.0192020438305877,0.0180223064128522,-0.0495272856970191,-0.163485412484959,-0.184640224698523,0.0276524206170903,0,20674,22970
-3476514.19040807,0.0280764130655232,0.0190852272346858,0.0182525664592296,-0.0505951858319075,-0.165308711530102,-0.182189495084097,0.0281325927090142,0,22971,25267
-3477068.84969763,0.0282545873940926,0.0192549449818825,0.0180552824649338,-0.0503874147253269,-0.163537550665942,-0.182881409492781,0.0285443403878257,0,25268,27564
-3476936.36355664,0.028139068986295,0.0189483886969948,0.0164213621271737,-0.0483082786727773,-0.163873433159942,-0.18565815604889,0.0271348025874041,0,27565,29861
-3476587.54186049,0.0280826303696231,0.0191235088677656,0.0172702923425295,-0.0502434810946035,-0.163550479527821,-0.181633353210732,0.0280966545224604,0,29862,32158
