"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",3.44607954341279e-05,7.41363493400491e-05,0.0306371397663152,0.0201071809756938,0.0380383071345853,-0.0174210373637058,-0.149135347804938,-0.215874568581071,0.0301239359995985,1.03280804744907,1.11332014702133
"SE-JK",NA,NA,0.00363668094764597,0.00253745242483548,0.0356310738840192,0.0193203848631664,0.0401874573091452,0.154688158538751,0.012255856877523,NA,NA
"Pval",NA,NA,3.62361116560328e-17,2.29692279936141e-15,0.285719061674954,0.367220479245281,0.000206448319942658,0.162851004668971,0.0139743656563565,NA,NA
