"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0303820864132489,0.0304490051901905,0.00034943877849898,0.00492944058934206,1.22107459918859e-07,1308.54998363137,-2613.09996726275,TRUE,0.03047409,0.02997895,0.0001532789,0.0005926942,0.8141774,0.1858226,1374.043,-2740.086,0.80879661428082,0.418632144020424,0.0207203828581385,0.0400437899683593,"FALSE"
"h2Y",0.0180179849133234,0.0180879722962528,0.000259917128131998,0.00366658230315108,6.75569134963853e-08,1367.74309068349,-2731.48618136698,TRUE,0.01764558,0.01809381,0.0004316747,9.477002e-05,0.1691555,0.8308445,1463.432,-2918.864,-1.01419780745262,0.310488374628061,0.0108314835991473,0.0252044862274995,"FALSE"
"tX",0.0612447331945869,0.0613184199001339,0.00188693195779229,0.0266184509401698,3.56051221333783e-06,971.274161871321,-1938.54832374264,TRUE,0.06141782,0.06029488,0.001213042,0.003720583,0.8458661,0.1541339,996.5469,-1985.0938,0.286952009621924,0.774149066314495,0.00907256935185402,0.11341689703732,"FALSE"
"tY",0.033506810326041,0.0338075922374645,0.00457463627801713,0.064533186176989,2.09272970761504e-05,794.159164638994,-1584.31832927799,TRUE,0.01417333,0.03378321,0.029436106,0.001820075,0.01409467,0.98590533,959.7368,-1911.4736,-0.66491477122364,0.506105007405592,-0.0929782345808575,0.159991855232939,"FALSE"
"axy",-0.175557530479166,-0.17583405384752,0.00329578998981286,0.0464928392307157,1.08622316569506e-05,859.735424671,-1715.470849342,TRUE,-0.1714802,-0.1759333,0.009522871,0.001331331,0.08438888,0.91561112,972.7664,-1937.5328,0.463117658898357,0.643280032973146,-0.266683495371368,-0.0844315655869629,"FALSE"
"ayx",-0.17000981001252,-0.170235824669235,0.00509291391842011,0.0718443920143182,2.59377721804373e-05,772.694574173901,-1541.3891483478,TRUE,-0.1702955,-0.1688241,0.002609203,0.010144459,0.8058177,0.1941823,814.1983,-1620.3966,-0.140472668578553,0.88828654566873,-0.310824818360584,-0.0291948016644565,"FALSE"
"iXY",0.0101464792744495,0.0100439673321761,0.0013216763166677,0.0186445388498085,1.74682828604029e-06,1042.48442978185,-2080.96885956371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0263968168711752,0.0466897754200741,"FALSE"
