"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",6.35683482257143e-05,6.38271730387944e-05,0.033559818719545,0.011966359727526,0.0476957096510497,0.0158553503898663,-0.115494242670322,-0.175225373829687,0.0357025006235393,1.06293545825152,1.11124239018198
"SE-JK",NA,NA,0.00393837848440569,0.00125186789262387,0.0234182618267311,0.0367497406414097,0.0381652704603027,0.334318681890771,0.016673820947481,NA,NA
"Pval",NA,NA,1.57871197087925e-17,1.19125425920897e-21,0.0416812458518285,0.666147634097716,0.00247680604219961,0.600190364181448,0.0322554224031188,NA,NA
